cve,epss,percentile
CVE-2023-0782,0.00062,0.24242
CVE-2023-0783,0.00063,0.25482
CVE-2023-0784,0.00063,0.25482
CVE-2023-0785,0.00052,0.18420
CVE-2023-0786,0.00049,0.15477
CVE-2023-0787,0.00045,0.12002
CVE-2023-0788,0.00066,0.27012
CVE-2023-0789,0.00109,0.42772
CVE-2023-0790,0.00055,0.20649
CVE-2023-0791,0.00049,0.15477
CVE-2023-0792,0.00045,0.12002
CVE-2023-0793,0.00050,0.16805
CVE-2023-1389,0.01664,0.85864
CVE-2023-2033,0.00983,0.81318
CVE-2023-20887,0.82708,0.97921
CVE-2023-20963,0.00190,0.55287
CVE-2023-2136,0.00549,0.74276
CVE-2023-21492,0.00083,0.34175
CVE-2023-21674,0.00096,0.39180
CVE-2023-21715,0.00972,0.81192
CVE-2023-21823,0.77497,0.97753
CVE-2023-21839,0.95115,0.98969
CVE-2023-22952,0.64202,0.97364
CVE-2023-23376,0.00572,0.74797
CVE-2023-23397,0.93943,0.98732
CVE-2023-23529,0.00091,0.37641
CVE-2023-24880,0.01075,0.82204
CVE-2023-25717,0.89698,0.98265
CVE-2023-26083,0.06150,0.92494
CVE-2023-26360,0.87425,0.98136
CVE-2023-27350,0.96921,0.99559
CVE-2023-27997,0.05748,0.92225
CVE-2023-28205,0.00132,0.47139
CVE-2023-28206,0.00154,0.50603
CVE-2023-28252,0.23733,0.95906
CVE-2023-28432,0.42964,0.96824
CVE-2023-2868,0.01638,0.85758
CVE-2023-28771,0.91122,0.98388
CVE-2023-29336,0.00051,0.17629
CVE-2023-29492,0.03392,0.90074
CVE-2023-3079,0.00248,0.61440
CVE-2023-33009,0.02075,0.87477
CVE-2023-33010,0.02075,0.87477
CVE-2023-34362,0.80771,0.97843
