cve,epss,percentile
CVE-2023-0152,0.00045,0.12002
CVE-2023-0153,0.00045,0.12002
CVE-2023-0154,0.00045,0.12002
CVE-2023-0155,0.00051,0.17856
CVE-2023-0156,0.00050,0.16383
CVE-2023-0157,0.00045,0.12002
CVE-2023-0158,0.00046,0.13988
CVE-2023-0159,0.00179,0.53925
CVE-2023-0162,0.00045,0.12002
CVE-2023-0164,0.00059,0.22776
CVE-2023-0165,0.00045,0.12002
CVE-2023-0166,0.00044,0.08425
CVE-2023-0167,0.00045,0.12002
CVE-2023-0168,0.00045,0.12002
CVE-2023-0169,0.00708,0.77669
CVE-2023-0170,0.00045,0.12002
CVE-2023-0171,0.00045,0.12002
CVE-2023-0172,0.00045,0.12002
CVE-2023-0173,0.00045,0.12002
CVE-2023-0174,0.00045,0.12002
CVE-2023-0175,0.00045,0.12002
CVE-2023-0176,0.00045,0.12002
CVE-2023-0177,0.00045,0.12002
CVE-2023-0178,0.00045,0.12002
CVE-2023-0179,0.00042,0.05675
CVE-2023-0180,0.00043,0.07027
CVE-2023-0181,0.00043,0.07027
CVE-2023-0182,0.00043,0.07027
CVE-2023-0183,0.00043,0.07027
CVE-2023-0184,0.00043,0.07027
CVE-2023-0185,0.00043,0.07027
CVE-2023-0186,0.00043,0.07027
CVE-2023-0187,0.00043,0.07027
CVE-2023-0188,0.00043,0.07027
CVE-2023-0189,0.00042,0.05675
CVE-2023-0190,0.00043,0.07027
CVE-2023-0191,0.00043,0.07027
CVE-2023-0192,0.00043,0.07027
CVE-2023-0193,0.00042,0.05675
CVE-2023-0194,0.00044,0.10600
CVE-2023-0195,0.00044,0.10600
CVE-2023-0196,0.00042,0.05675
CVE-2023-0197,0.00043,0.07027
CVE-2023-0198,0.00043,0.07027
CVE-2023-0199,0.00043,0.07027
CVE-2023-0200,0.00060,0.23456
CVE-2023-0201,0.00042,0.05675
CVE-2023-0202,0.00043,0.07027
CVE-2023-0203,0.00044,0.11133
CVE-2023-0204,0.00044,0.11133
CVE-2023-0205,0.00044,0.11133
CVE-2023-0206,0.00043,0.07027
CVE-2023-0207,0.00043,0.07027
CVE-2023-0208,0.00043,0.07027
CVE-2023-0209,0.00045,0.12204
CVE-2023-0210,0.00052,0.17992
CVE-2023-0212,0.00045,0.12002
CVE-2023-0213,0.00043,0.07027
CVE-2023-0214,0.00128,0.46505
CVE-2023-0215,0.00247,0.61307
CVE-2023-0216,0.00059,0.23114
CVE-2023-0217,0.00054,0.19649
CVE-2023-0219,0.00045,0.12002
CVE-2023-0220,0.00050,0.16805
CVE-2023-0221,0.00042,0.05675
CVE-2023-0223,0.00052,0.18022
CVE-2023-0225,0.00044,0.10775
CVE-2023-0227,0.00049,0.15307
CVE-2023-0228,0.00056,0.21270
CVE-2023-0229,0.00044,0.11133
CVE-2023-0230,0.00045,0.12002
CVE-2023-0231,0.00045,0.12002
CVE-2023-0232,0.00071,0.29023
CVE-2023-0233,0.00045,0.12002
CVE-2023-0234,0.00060,0.23180
CVE-2023-0236,0.00071,0.29007
CVE-2023-0240,0.00042,0.05675
CVE-2023-0241,0.00046,0.12908
CVE-2023-0242,0.00050,0.16805
CVE-2023-0243,0.00063,0.25482
CVE-2023-0244,0.00063,0.25482
CVE-2023-0245,0.00063,0.25482
CVE-2023-0246,0.00051,0.17548
CVE-2023-0247,0.00053,0.19305
CVE-2023-0249,0.00120,0.45159
CVE-2023-0250,0.00083,0.34037
CVE-2023-0251,0.00082,0.33625
CVE-2023-0252,0.00045,0.12002
CVE-2023-0253,0.00051,0.17954
CVE-2023-0254,0.00049,0.15307
CVE-2023-0255,0.00050,0.16805
CVE-2023-0256,0.00076,0.31349
CVE-2023-0257,0.00091,0.37850
CVE-2023-0258,0.00046,0.13988
CVE-2023-0259,0.00050,0.16805
CVE-2023-0260,0.00050,0.16805
CVE-2023-0261,0.01225,0.83448
CVE-2023-0262,0.00050,0.16805
CVE-2023-0263,0.00050,0.16805
CVE-2023-0265,0.00066,0.27286
CVE-2023-0266,0.00112,0.43404
CVE-2023-0267,0.00045,0.12002
CVE-2023-0268,0.00045,0.12002
CVE-2023-0270,0.00045,0.12002
CVE-2023-0271,0.00045,0.12002
CVE-2023-0272,0.00045,0.12002
CVE-2023-0273,0.00045,0.12002
CVE-2023-0275,0.00045,0.12002
CVE-2023-0276,0.00045,0.12002
CVE-2023-0277,0.00050,0.16805
CVE-2023-0278,0.00050,0.16805
CVE-2023-0279,0.00050,0.16805
CVE-2023-0280,0.00045,0.12002
CVE-2023-0281,0.00063,0.25482
CVE-2023-0282,0.00045,0.12002
CVE-2023-0283,0.00063,0.25482
CVE-2023-0284,0.00044,0.11133
CVE-2023-0285,0.00045,0.12002
CVE-2023-0286,0.00115,0.44147
CVE-2023-0287,0.00051,0.17548
CVE-2023-0288,0.00050,0.17262
CVE-2023-0289,0.00045,0.12002
CVE-2023-0290,0.00046,0.12982
CVE-2023-0291,0.00103,0.40885
CVE-2023-0292,0.00120,0.45087
CVE-2023-0293,0.00045,0.12002
CVE-2023-0294,0.00052,0.18362
CVE-2023-0295,0.00045,0.12002
CVE-2023-0296,0.00046,0.13988
CVE-2023-0297,0.30395,0.96351
CVE-2023-0298,0.00046,0.12859
CVE-2023-0299,0.00085,0.34900
CVE-2023-0300,0.00045,0.12002
CVE-2023-0301,0.00045,0.12002
CVE-2023-0302,0.00053,0.19305
CVE-2023-0303,0.00064,0.26319
CVE-2023-0304,0.00064,0.26319
CVE-2023-0305,0.00064,0.26319
CVE-2023-0306,0.00045,0.12002
CVE-2023-0307,0.00091,0.37850
CVE-2023-0308,0.00045,0.12002
CVE-2023-0309,0.00045,0.12002
CVE-2023-0310,0.00045,0.12002
CVE-2023-0311,0.00091,0.37850
CVE-2023-0312,0.00046,0.13988
CVE-2023-0313,0.00045,0.12002
CVE-2023-0314,0.00046,0.13988
CVE-2023-0315,0.46639,0.96919
CVE-2023-0316,0.00043,0.07027
CVE-2023-0317,0.00049,0.15307
CVE-2023-0319,0.00052,0.18022
CVE-2023-0320,0.00045,0.12002
CVE-2023-0321,0.00088,0.36228
CVE-2023-0322,0.00046,0.13988
CVE-2023-0323,0.00090,0.37245
CVE-2023-0324,0.00063,0.25482
CVE-2023-0325,0.00148,0.49767
CVE-2023-0326,0.00050,0.16960
CVE-2023-0327,0.00052,0.18279
CVE-2023-0328,0.00045,0.12002
CVE-2023-0329,0.00050,0.16805
CVE-2023-0330,0.00043,0.07027
CVE-2023-0331,0.00174,0.53336
CVE-2023-0332,0.00077,0.31678
CVE-2023-0333,0.00045,0.12002
